compound_id	disease_id	compound_name	disease_name	n_trials
DB00014	DOID:10283	Goserelin	prostate cancer	75
DB00014	DOID:11476	Goserelin	osteoporosis	2
DB00014	DOID:13223	Goserelin	uterine fibroid	1
DB00014	DOID:14221	Goserelin	metabolic syndrome X	1
DB00014	DOID:14227	Goserelin	azoospermia	1
DB00014	DOID:1595	Goserelin	endogenous depression	1
DB00014	DOID:1612	Goserelin	breast cancer	55
DB00014	DOID:1725	Goserelin	peritoneum cancer	1
DB00014	DOID:1964	Goserelin	fallopian tube cancer	1
DB00014	DOID:2531	Goserelin	hematologic cancer	1
DB00035	DOID:10763	Desmopressin	hypertension	1
DB00035	DOID:14330	Desmopressin	Parkinson's disease	1
DB00035	DOID:1612	Desmopressin	breast cancer	1
DB00035	DOID:2043	Desmopressin	hepatitis B	1
DB00050	DOID:11612	Cetrorelix	polycystic ovary syndrome	1
DB00050	DOID:7148	Cetrorelix	rheumatoid arthritis	1
DB00050	DOID:9970	Cetrorelix	obesity	1
DB00091	DOID:0060073	Cyclosporine	lymphatic system cancer	37
DB00091	DOID:1024	Cyclosporine	leprosy	4
DB00091	DOID:10283	Cyclosporine	prostate cancer	3
DB00091	DOID:10976	Cyclosporine	membranous glomerulonephritis	4
DB00091	DOID:1115	Cyclosporine	sarcoma	1
DB00091	DOID:119	Cyclosporine	vaginal cancer	1
DB00091	DOID:1312	Cyclosporine	focal segmental glomerulosclerosis	1
DB00091	DOID:1319	Cyclosporine	brain cancer	1
DB00091	DOID:13241	Cyclosporine	Behcet's disease	1
DB00091	DOID:1612	Cyclosporine	breast cancer	4
DB00091	DOID:1686	Cyclosporine	glaucoma	2
DB00091	DOID:1725	Cyclosporine	peritoneum cancer	1
DB00091	DOID:1909	Cyclosporine	melanoma	1
DB00091	DOID:1964	Cyclosporine	fallopian tube cancer	1
DB00091	DOID:2043	Cyclosporine	hepatitis B	1
DB00091	DOID:2174	Cyclosporine	ocular cancer	1
DB00091	DOID:2355	Cyclosporine	anemia	42
DB00091	DOID:2394	Cyclosporine	ovarian cancer	1
DB00091	DOID:2531	Cyclosporine	hematologic cancer	136
DB00091	DOID:263	Cyclosporine	kidney cancer	6
DB00091	DOID:3070	Cyclosporine	malignant glioma	1
DB00091	DOID:3083	Cyclosporine	chronic obstructive pulmonary disease	2
DB00091	DOID:3310	Cyclosporine	atopic dermatitis	7
DB00091	DOID:3393	Cyclosporine	coronary artery disease	4
DB00091	DOID:4362	Cyclosporine	cervical cancer	1
DB00091	DOID:635	Cyclosporine	acquired immunodeficiency syndrome	2
DB00091	DOID:7148	Cyclosporine	rheumatoid arthritis	2
DB00091	DOID:7693	Cyclosporine	abdominal aortic aneurysm	1
DB00091	DOID:784	Cyclosporine	chronic kidney failure	10
DB00091	DOID:824	Cyclosporine	periodontitis	1
DB00091	DOID:8577	Cyclosporine	ulcerative colitis	2
DB00091	DOID:8893	Cyclosporine	psoriasis	14
DB00091	DOID:9074	Cyclosporine	systemic lupus erythematosus	2
DB00091	DOID:9352	Cyclosporine	type 2 diabetes mellitus	1
DB00091	DOID:9744	Cyclosporine	type 1 diabetes mellitus	6
DB00104	DOID:0050156	Octreotide	idiopathic pulmonary fibrosis	1
DB00104	DOID:0060073	Octreotide	lymphatic system cancer	1
DB00104	DOID:10021	Octreotide	duodenum cancer	1
DB00104	DOID:10283	Octreotide	prostate cancer	3
DB00104	DOID:10534	Octreotide	stomach cancer	5
DB00104	DOID:119	Octreotide	vaginal cancer	1
DB00104	DOID:1192	Octreotide	peripheral nervous system neoplasm	2
DB00104	DOID:11934	Octreotide	head and neck cancer	1
DB00104	DOID:1245	Octreotide	vulva cancer	1
DB00104	DOID:1319	Octreotide	brain cancer	3
DB00104	DOID:1612	Octreotide	breast cancer	2
